Nome;CPF;Telefone;Equipamento
Menina da porteira;123.456.789-20;0202-0202;['Celular']
Zack Efron;123.456.789-30;0303-0303;['Notebook']
Claudia Leite;123.456.789-40;0404-0404;['Computador']
Ivete Sangalo;123.456.789-50;0505-0505;['Computador']
Shakira;123.456.789-60;0606-0606;['Celular']
Hebe Camargo;123.456.789-70;0707-0707;['Notebook']
Michal Jackson;123.456.789-80;0808-0808;['Computador']
Jobson;123.456.789-10;0101-0101;[None]
Jobson;123.456.789-10;0101-0101
Jobson;123.456.789-10;0101-0101
